Title,Job_Desc,Date_Posted,Remote Work Level,Location,Job Type,Job Schedule,Career Level,Travel Required,Categories,User-Agent
Engineering Manager - Artificial Intelligence,"Full-time role with remote option. He/she will utilize Agile methodologies, manage on-call incident escalation, and manage a team of engineers. Candidate must have strong experience leading and managing distributed teams and familiar with Agile processes.",01/11/21,Option for Remote,US National,Employee,01/11/21,Manager,No specification,"Project Management,Software Development,Computer & IT",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Guidewire InsuranceNow Developer,"Remote position. Support full product development life cycle, customize and configure applications, provide technical support, and propose solutions to business leaders. Requires previous software development experience and knowledge of cloud products.",01/11/21,100% Remote,"Virginia Beach, VA",Employee,01/11/21,Experienced,No specification,Software Development,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Java Full Stack Developer,"Utilize front-end tools to design and manage web content & applications, provide technical troubleshooting, and maintain remote servers. $60-$80/hour. Freelance position. Requires 5+ years' development experience and work with cloud tools. Remote work.",01/11/21,100% Remote,"Baton Rouge, LA",Freelance,01/11/21,Experienced,No specification,"Software Development,Web Design",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Software Developer,"Work in a remote capacity to create software, design solutions, and support implementations. Must have application and software development experience and be proficient with APIs, Apple Mac, and Chrome extensions. A BS is desired. Pays up to $70k/yr.",01/11/21,100% Remote,"Logan, UT",Employee,01/11/21,Experienced,No specification,"System Administration,Software Development,QA & Testing",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
SQL Data Engineer,"Remote position will identify/manage existing/emerging risks, ensure risks are identified, monitored/controlled, design/implement complex technical solutions, and design/manage data pipelines. Need six years of data management experience. ",01/11/21,Remote - During Pandemic,"Phoenix, AZ",Employee,01/11/21,Experienced,"Yes, a bit","SQL,IT Consulting,Computer & IT,Database Administration,Software Development",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Senior Ruby on Rails Developer,"Full-time position. Will drive adoption, adhere to best practices, design scalable features, integrate new technologies and contribute to lifecycle. 3+ years' related Ruby on Rails experience required. Telecommute. ",01/11/21,100% Remote,"Scottsdale, AZ",Employee,01/11/21,Experienced,No specification,"Software Development,Ruby on Rails","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Automation QA ,"Contract, remote position. Will resolve issues, provide reporting metrics, maintain industry knowledge, create automation technologies and meet business needs. Must have modern programming languages. ",01/11/21,100% Remote,"Boise, ID",Freelance,01/11/21,Experienced,No specification,"Computer & IT,SQL,Software Development,QA & Testing","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Technical Writer 3,"Contract temporary remote position will research, plan, edit, update/maintain product documentation/training collateral, contribute to the content development process, and create effort estimates for new projects. Need seven years of experience. ",01/11/21,Remote - During Pandemic,"Ottawa, ON, Canada","Freelance, Temporary",01/11/21,Experienced,"Yes, a bit","Software Development,Technical Writing,Editing","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
React Full Stack Developer,"Contract position. Will resolve issues, collaborate with team, create architecture and provide industry-specific expertise. 5+ years' related programming language experience required. Remote during pandemic.",01/11/21,Remote - During Pandemic,"Raleigh, NC",Freelance,01/11/21,Manager,No specification,"Computer & IT,Database Administration,System Administration,Software Development,.NET","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Node React Startup Software Engineer,"Remote, full-time job. Pays $100,000 a year. Needs strong Node and React experience and experience with  frameworks for MVC. Role will be foundational, will use full AWS stack including EKS, Elastic search and ELK stack, focus on back office functions.",01/11/21,100% Remote,"Boston, MA",Employee,01/11/21,Experienced,No,"Computer & IT,Database Administration,Software Development",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Lead Scala Developer,"Full-time contract remote role. Candidate must have Scala and Spark development experience. Bachelor's degree, 6+ years' Agile software development experience, and testing experience required. Pay up to $85/hour. ",01/11/21,100% Remote,"Saint Louis, MO",Freelance,01/11/21,Experienced,No specification,"Software Development,Java & Android,QA & Testing",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
UX Researcher,"Full-time position. Will offer suggestions, interview customers, gather feedback, collaborate with team and analyze data. Master's degree and 2+ years' related experience required. Remote during pandemic. ",01/11/21,Remote - During Pandemic,"Ridgeland, MS",Employee,01/11/21,Experienced,No specification,"Graphic Design,Interactive Design,Project Management,Software Development,QA & Testing",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
UX Prototyper,"Full-time position. Will offer suggestions, implement designs, create prototypes, assist with unit testing and work with team. 3+ years' related front-end development experience required. Remote during pandemic. ",01/11/21,Remote - During Pandemic,"Ridgeland, MS",Employee,01/11/21,Experienced,No specification,"Graphic Design,Interactive Design,Software Development,QA & Testing","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
"Senior, Lead Content Specialist - Technology Marketing, Content Creation","Remote position will generate engaging technology-centric content, streamline communication/distribution to drive engagement rates, and create/carry out the content strategy/mentor junior teammates. Need four years of experience writing/editing content. ",01/11/21,100% Remote,US National,Employee,01/11/21,Experienced,No specification,"Computer & IT,Marketing,Software Development,Writing,Online Content",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Web Developer,"Temporary job, remote during pandemic. Needs knowledge of HTML and CSS and experience with interactive dashboards. Will use  strong command of enterprise systems, coding skills and ability to think outside the box and will bring projects to life.",01/11/21,Remote - During Pandemic,"Madison, WI",Temporary,01/11/21,Experienced,No,"Software Development,Web Design",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Web Developer,"Full-time remote role. He/she will assist in developing, creating, and maintaining applications for online order entry website and will implement new features. Bachelor's degree and 2 years' Reactive experience required. Programming skills required. ",01/11/21,100% Remote,TX,Employee,01/11/21,Experienced,No specification,"Computer & IT,SQL,Software Development,Java & Android,Ruby on Rails",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Front-End Engineer,"The sr. engineer will be building front-end experiences, deploying large-scale web apps, and creating automated tests. Qualifications include a strong React background and experience using Ruby on Rails or a similar framework. Remote position.",01/11/21,100% Remote,US National,Employee,01/11/21,Experienced,No specification,"Computer & IT,System Administration,Education & Training,Internet & Ecommerce,Software Development,Ruby on Rails",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Director of Development Operations,"Hire, mentor and develop a DevOps team who will improve and own current elements of the pipeline, track and improve lead, time and serve as a technical expert on connect operations and development. Remote job; light travel is required. ",01/11/21,100% Remote,US National,Employee,01/11/21,"Senior Level Manager (Director, Dept Head, VP, General Manager, C-level)","Yes, a bit","Computer & IT,System Administration,Software Development,Ruby on Rails","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Software Engineer,Software Engineer is needed for a remote position. The candidate will build and operate services in a distributed production environment. Must be able to tackle complex problems. Bachelor's degree and prior relevant experience required.,01/11/21,100% Remote,"Tallinn, Estonia",Employee,01/11/21,Experienced,No specification,"Software Development,Computer & IT",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Android Developer - Java ,"Create custom native user interfaces, build reusable Android software components, optimize UI, and help maintain the underlying cross-platform C/C++ library. Must have 4+ years of experience with Android Studio, Java, and C/C++. WFH.",01/11/21,100% Remote,Work from Anywhere,Employee,01/11/21,Experienced,No,"Software Development,.NET,Java & Android","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
iOS Developer - Obj-C ,"Create custom native user interfaces, build reusable software components, optimize UI, and help maintain the underlying cross-platform C/C++ library. Must have 4+ years of experience with XCode, Objective-C, and C/C++. WFH.",01/11/21,100% Remote,Work from Anywhere,Employee,01/11/21,Experienced,No,"iOS,Software Development","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Web Developer,"Create web-based user interfaces, build reusable software components, manage framework decisions & integrations, and work with the existing company libraries. Must have 4+ years of experience with javascript. WFH.",01/11/21,100% Remote,Work from Anywhere,Employee,01/11/21,Experienced,No,"Software Development,Web Design","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Product Manager,"Take responsibility for the development, release, and lifecycle management of new software products for the Financial Services markets. Must have a bachelor's degree and 6 years of experience. Full-time, remote position.",01/11/21,100% Remote,"Atlanta, GA",Employee,01/11/21,Manager,No,"Accounting & Finance,Project Management,Software Development",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Lead Designer,"Design and prototype multiple ideas quickly, often with customers, to validate product directions; partner with engineers as they build and ship ideas. Must have 3+ years of relevant design experience at a product-driven company. WFH for $60-$100K.",01/11/21,100% Remote,"Boston, MA",Employee,01/11/21,Experienced,No,"Graphic Design,Digital Design,Interactive Design,Visual Design,Software Development,Web Design","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Lead Mobile Developer,"Join a team that is working on several multiple platform projects, assisting with deploying their native application in 2021. Must have skills in APIs & integration layers, iOS development, and Android development. WFH temp-to-hire role.",01/11/21,100% Remote,"Madison, WI, ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, WI, IL, KY, MS, AL",Temporary,01/11/21,Experienced,No,"Software Development,iOS,Java & Android","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
"Full-Stack Engineer, Ads","Remote position. Build and maintain ads and products, increase scalability of content, and provide technical troubleshooting as needed. Requires programming proficiency, web development experience, and knowledge of front-end frameworks and QA testing.",01/11/21,100% Remote,US National,Employee,01/11/21,Experienced,No specification,"Software Development,Python","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Application Security Engineer,Application Security Engineer is needed for a remote opportunity. The candidate will perform technical security assessments against the company's applications and services. At least 4 years' relevant experience is required.,01/11/21,100% Remote,US National,Employee,01/11/21,Experienced,No specification,"Computer Security,Software Development,Java & Android,QA & Testing",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
"Engineering Manager, Video Performance","Use engineering, leadership and infrastructure to bring the best quality video on the internet, set and maintain latency and scalability and coordinate and execute a vision for video performance and quality to enable company growth. Remote job.",01/11/21,100% Remote,US National,Employee,01/11/21,Manager,No,"Software Development,Python",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
"Frontend Engineer, Ads",Assist with building next generation monetization products and develop current frontend infrastructure while building performant user experiences and using modern front-end technologies. Previous website development experience is needed. Remote job.,01/11/21,100% Remote,US National,Employee,01/11/21,Experienced,No,"Software Development,Python","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Senior Product Manager – Site Reliability and Observability,Full-time role with remote option. He/she will lead a team of product manager & collaborate with design and development. 7+ years' experience in product management and building custom software and 1+ year of people management experience required. ,01/09/21,Option for Remote,US National,Employee,01/09/21,Manager,No specification,"Project Management,Software Development",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Engineering Manager,"Remote. Manage technical backlog and support customer requests, review test cases and provide product training, and meet with teams to understand project needs. Requires 2 years' engineering management experience, and work with JIRA, React, and Git.",01/11/21,100% Remote,"Canada, or US National",Employee,01/11/21,Manager,No specification,"Computer & IT,Software Development,QA & Testing",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Product Manager,"WFH job for candidate who will own the core concept of Compute within the platform, work with customers to understand use cases and ideal developer workflows, and collaborate with marketing colleagues. BA/BS degree and 4-7 years' product manager exp. req.",01/11/21,100% Remote,US National,Employee,01/11/21,Manager,No,"Project Management,Software Development",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Product Manager - AI Services,"Full-time position. Will validate solutions, deliver features, address issues, facilitate communication and mentor junior team members. 7+ years' related product management experience required. Remote option.",01/09/21,Option for Remote,US National,Employee,01/09/21,"Senior Level Manager (Director, Dept Head, VP, General Manager, C-level)",No specification,"Software Development,Project Management",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
"Senior Product Manager, Product Operations","Full-time, partially remote position. Will analyze data, maintain resources, translate findings, automate strategies and create presentations. 5+ years' related experience required. Strong communication skills needed. ",01/09/21,Partial Remote,US National,Employee,01/09/21,Manager,No specification,"Operations,Project Management,Software Development,Writing,Computer & IT","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Senior Product Manager,Full-time partial remote role. He/she will solve problems in software delivery arena and will create customer-driven content. Publish blog posts and give presentations. Candidate must have software engineering experience and strong analytical abilities. ,01/09/21,Partial Remote,US National,Employee,01/09/21,"Senior Level Manager (Director, Dept Head, VP, General Manager, C-level)",No specification,"Computer & IT,Project Management,Software Development,Writing,Technical Writing","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Full-Stack Technical Lead,"Full-time a job, remote option.Travel.Needs six years' experience as a Software Engineer and a bachelor's degree is a plus.Spend time coding and time coaching engineers, improve problem solving skills, work with a technical architect to design a solution.",01/09/21,Option for Remote,"Dublin, Ireland, Hong Kong, London, United Kingdom, Paris, France, New York, NY, or US National",Employee,01/09/21,Experienced,"Yes, a bit","Computer & IT,SQL,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Software Engineer II,"Full-time role with remote option. He/she will be responsible for analysis, design, implementation, and maintenance of business processes and will write and code software programs and applications. Bachelor's degree and 2+ years' experience required. ",01/09/21,Option for Remote,"San Juan, PR, or US National",Employee,01/09/21,Experienced,No specification,"Software Development,Computer & IT",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior DevOps Software Engineer,"Full-time role with remote option. He/she will improve and maintain product development infrastructure, tools, and scripts. He/she will manage the application environment and automate and engineer processes. 4+ years' software development experience req.",01/09/21,Option for Remote,US National,Employee,01/09/21,Experienced,No specification,"Computer & IT,System Administration,Software Development,Python,Ruby on Rails","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Senior Software Engineer,"Remote opportunity for a senior software engineer. Will help design and build tooling, help deliver new features, collaborate to understand business problems and present solutions, and mentor and grow teammates. Need three years' professional experience. ",01/09/21,Option for Remote,US National,Employee,01/09/21,Experienced,No specification,"Software Development,Computer & IT,Java & Android","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"Senior Manager, Engineering - AI","Full-time, remote option. Needs seven years' experience managing software product development team and three years' experience in the  AI/MIL discipline. contribute to the product roadmap and use it to bring purpose to the team, scope and drive features.",01/09/21,Option for Remote,US National,Employee,01/09/21,Experienced,No,"Computer & IT,Statistics,Analyst,Software Development","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Application Support Engineer,"Partial remote position will research, respond/resolve cases of complexity, function as primary customer contact for all assigned support cases, meet contractual/internal goals for response, and escalate issues. BA degree required and three years of exp. ",01/09/21,Partial Remote,US National,Employee,01/09/21,Experienced,"Yes, a bit","Computer & IT,Technical Support,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Full Stack Developer - Application Security,"Remote role with occasional travel for an application security full stack developer. Will provide advice to customers and develop product using Javascript, Node.js, Vue.js, Ruby on Rails, MongoDB, and Amazon Web Services. Need CISSP or CISM certification.",01/09/21,Partial Remote,US National,Employee,01/09/21,Experienced,"Yes, a bit","Computer & IT,Computer Security,Software Development",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Associate Solutions Engineer,"Partial remote position will serve as the technical support, identify/uncover customer business goals, support customer trials, provide advice/support, identify areas of improvements, and help influence roadmap. Need demonstrated experience. ",01/09/21,Partial Remote,"Canada, or US National",Employee,01/09/21,Experienced,"Yes, a bit","Computer & IT,Technical Support,IT Consulting,Software Development",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Application Security Developer ,"Full-time, some remote work. Travel. Needs five years' work related experience and experience with securing cloud-native application. Work as part of the development team, work with customers in an advisory role and will develop the LS/Q product.",01/09/21,Partial Remote,US National,Employee,01/09/21,Experienced,"Yes, a bit","Computer & IT,Computer Security,Software Development",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Curriculum Manager,Full-time role with remote option. He/she will build courses using a Backward Design model. He/she will develop engaging technical content and onboard new instructors. Candidate should have teaching experience and instructional design knowledge. ,01/09/21,Option for Remote,US National,Employee,01/09/21,Manager,No specification,"Education & Training,Online Teaching,Software Development",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Senior Software Engineer,"Full-time job, remote option. Needs a bachelor's degree and experience with large scale applications. Work in a collaborative, agile team for a fast growing company, produce organized, clean and maintainable code and will develop tools and libraries. ",01/09/21,Option for Remote,US National,Employee,01/09/21,Experienced,No,Software Development,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Software Development Engineer - Backend,"Full-time job, some remote work. Travel. Needs a bachelor's degree and experience working with databases.Tackle hard problems in streaming calculation, storage and distributed computing , reach others as we need, build products that exceed expectations.",01/09/21,Partial Remote,Work from Anywhere,Employee,01/09/21,Experienced,"Yes, a bit",Software Development,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Senior DevOps Consultant,"Partial remote job for candidate who will provide advice on all things related to CI, CD, and release management, make technical recommendations for customers, and implement automation and tracking tooling. Configuration management exp. req. 75% travel.",01/10/21,Partial Remote,US National,Employee,01/10/21,Experienced,"Yes, a lot","Computer & IT,Software Development,IT Consulting,Consulting","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Senior Tableau Developer,2-month remote job for candidate who will configure and utilize the business intelligence solution set and partner with stakeholders and analysts to design and develop effective BI solutions. BA/BS degree and 3 years' Tableau Developer exp. req. $50/hr.,01/10/21,100% Remote,"San Francisco, CA",Temporary,01/10/21,Experienced,No specification,"Computer & IT,Database Administration,SQL,Software Development,QA & Testing,System Administration","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Senior Backend Engineer,"Full-time position. Will build features, identify opportunities, improve performance, execute initiatives and conduct reviews. 4+ years' related web application production writing experience required. Remote. ",01/08/21,100% Remote,US National,Employee,01/08/21,Experienced,No specification,"Software Development,Ruby on Rails",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
"Lead Software Engineer, Backend","Full-time, remote position. Responsibilities include brainstorming, prototyping, & shipping features, participating in designing, developing, implementing, & testing technical systems, and debugging large applications. Bachelor's degree required.",01/08/21,100% Remote,US National,Employee,01/08/21,Manager,No specification,Software Development,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Mobile App Developer,Seeking a Mobile App Developer for a remote role. He/She will help create innovative features that will ensure positive user experiences. Must be proficient in Javascript. Prior relevant experience is required.,01/08/21,100% Remote,US National,Employee,01/08/21,Experienced,No specification,"Java & Android,Software Development,iOS","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Security Engineer,"Full-time, telecommute position. Will perform penetration testing, conduct code reviews, implement analyses, design security controls and resolve problems. Bachelor's degree and 5+ years' related experience required.",01/08/21,100% Remote,US National,Employee,01/08/21,Manager,No specification,Software Development,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Backend Engineer,"Write Ruby for APIs and critical backend services, build and ship product features, coordinate with members and review pull requests from engineers. Must have 2+ years of experience. Full-time work from home opportunity.",01/08/21,100% Remote,US National,Employee,01/08/21,Experienced,No,"Software Development,Ruby on Rails","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Software Test Engineer - Quality Assurance Engineer,"Remote role with travel required. Candidate will collaborate with product and growth to test features before they reach customers, automate testing, and identify trends and gaps. Must have four plus years of professional software engineering experience.",01/08/21,100% Remote,"Canada, United Kingdom, France, Germany, or US National",Employee,01/08/21,Experienced,"Yes, a bit","Software Development,QA & Testing","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Project Coordinator,"Temporary position. Will maintain backlogs, collect feedback, manage documentation, facilitate development projects and perform testing. Bachelor's degree or 3+ years' related experience required. Remote. $25/hr.",01/08/21,100% Remote,"Villanova, PA",Temporary,01/08/21,Experienced,No specification,"Administrative,Project Management,Software Development,QA & Testing","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
Senior Data Engineer,"Full-time position. Will monitor data pipelines, collaborate with team, resolve issues, support models and implement data. Bachelor's degree and 4+ years' related experience required. Remote during pandemic. ",01/08/21,Remote - During Pandemic,"Austin, TX",Employee,01/08/21,Experienced,No specification,"Computer & IT,Database Administration,SQL,Software Development,Python","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Quality Assurance Tester,"Join a team and be accountable for the delivery of various solutions, guide business partners and the quality of software solution releases. Experience writing test plans and cases and use cases is needed. 12-month remote contract position.",01/08/21,100% Remote,"Saint Paul, MN",Freelance,01/08/21,Experienced,No,"Project Management,Software Development,QA & Testing","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Product Owner,"Temporary remote position will define, document/drive completion, manage, groom/prioritize team backlog, and act as primary point of contact between development team/other department functions for projects. BS degree required and four years of experience.",01/08/21,100% Remote,"Minneapolis, MN",Temporary,01/08/21,Experienced,No specification,"Computer & IT,Project Management,Software Development",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
UX Designer,"Remote position will develop/apply general visual styles/interaction patterns, craft/visualize end-user experience for features, create detailed mockups, prototypes/wireframes, and define, execute/launch features. BA degree required and four years exp. ",01/08/21,100% Remote,"Mountain View, CA",Freelance,01/08/21,Experienced,No specification,"Graphic Design,Interactive Design,Visual Design,Internet & Ecommerce,Web Design,Software Development",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Software Engineer - Elixir or Ruby,"Remote temporary contract position will handle web development for migrations, upgrades/consolidations, work with back-end development, creation of a loyalty program, and consolidate several systems. Need solid hands-on development experience. ",01/08/21,100% Remote,"Philadelphia, PA","Freelance, Temporary",01/08/21,Experienced,No specification,"Software Development,Ruby on Rails,Web Design","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Front-End Lead,"Implement brand new user-facing features in company products, write client-side code to develop web-based applications, build frameworks and libraries that support complicated web applications and develop and improve code quality. Remote position.",01/08/21,100% Remote,"Taipei, Taiwan",Employee,01/08/21,Experienced,No,"Bilingual,Chinese,Interactive Design,Software Development,Web Design",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Software Engineer,"Remote position will create new features/intuitive experiences for customers, help them achieve goals, build out content management services to support internal content producers, and launch user-facing features. Need five years of full-stack experience. ",01/08/21,Remote - During Pandemic,"Boulder, CO",Employee,01/08/21,Experienced,"Yes, a bit","Computer & IT,SQL,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
iOS Developer,"Remote position will design/implement new user-facing features, balance efficient code with functional aesthetics, define, design/ship new features, troubleshoot issues and create/execute unit tests. BA degree required and two years of experience. ",01/08/21,100% Remote,"Moscow, Russia",Employee,01/08/21,Experienced,No specification,"Software Development,iOS,QA & Testing",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Encompass Developer,"Join a team and be responsible for Encompass administration and development, advanced VB coding, administer personas and write and build custom forms. Home-based 6-month contract position.",01/08/21,100% Remote,"Plymouth Meeting, PA",Freelance,01/08/21,Experienced,No,"Software Development,.NET","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
React Developer,"Perform React development in a remote capacity to provide business intelligence applications. Lead design, create libraries, and maintain solutions. Must have experience with HTML, CSS, and ReactJS. Great benefits package offered.",01/08/21,100% Remote,"Twin Falls, ID",Employee,01/08/21,Experienced,No specification,Software Development,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
